한글,French,Example Sentence,Translated Sentence,Explanation
맛이 좋다,être bon (goût),이 집 김치찌개 맛이 좋아요.,Leur jjigae est bon.,Goût agréable.
여러 군데,plusieurs endroits,여러 군데를 돌아봤어요.,J’ai fait plusieurs endroits.,Multiplicité de lieux.
차가 밀리다,embouteillages,주말엔 차가 많이 밀려요.,Il y a beaucoup de bouchons le week-end.,Trafic chargé.
향이 좋다,bonne odeur/arôme,이 차는 향이 좋아요.,Ce thé a un bon arôme.,Parfum/nez agréable.
갔다 와서 보자,On voit ça au retour / on se voit au retour,여행 갔다 와서 보자.,On verra ça après ton retour.,Remettre à plus tard. / se revoir
재미있게 놀다 와,Amuse-toi bien,여행 재미있게 놀다 와!,Amuse-toi bien en voyage !,Souhait amical.
낮,journée (jour),낮에는 덥고 밤에는 서늘해요.,"Chaud le jour, frais la nuit.",Période diurne.
동해안,côte Est (Corée),동해안으로 드라이브 갔어요.,J’ai conduit le long de la côte Est.,Région littorale.
전국적,national (à l’échelle),전국적으로 비가 와요.,Il pleut à l’échelle nationale.,Portée géographique.
맞다,être correct,네 말이 맞아.,Tu as raison.,Justesse/correction.
틀리다,être faux,답이 틀렸어요.,La réponse est fausse.,Erreur.
취소하다,annuler,예약을 취소했어요.,J’ai annulé la réservation.,Annulation de service.
22도,22 degrés,실내는 22도예요.,Il fait 22°C à l’intérieur.,Température précise.
돈을 들이다,dépenser (investir),돈을 많이 들였어요.,On a beaucoup dépensé.,Coût consenti.
시간을 들이다,consacrer du temps,시간을 충분히 들였어요.,J’y ai consacré assez de temps.,Investissement temporel.
둘이서 갈게요,On y va à deux,예약은 둘이서 갈게요.,"Pour la résa, on sera deux.",Nombre de personnes.
새벽,aube,새벽에 출발했어요.,Je suis parti à l’aube.,Très tôt le matin.
시계탑,tour horloge,시게탑 앞에서 만나자.,On se voit devant la tour horloge.,Point de repère urbain.
패스트푸드점,fast-food,패스트푸드점에서 점심 먹었어요.,J’ai déjeuné au fast-food.,Chaîne/restauration rapide.
해,"soleil, année (selon)",해가 강하게 비쳐요.,Le soleil brille fort.,Ici: astre solaire.
해가 뜨다,le soleil se lève,해가 일찍 떴어요.,Le soleil s’est levé tôt.,Aube/lever du jour.
잡다,"attraper, saisir",택시를 잡았어요.,J’ai attrapé un taxi.,"Polyvalent: saisir, capturer, héler."
아쉽다,"dommage, regret",시간이 없어 아쉬워요.,Dommage qu’on manque de temps.,Regret léger.
밤새,toute la nuit,밤새 비가 내렸어요.,Il a plu toute la nuit.,Durée nocturne complète.
방금,à l’instant,방금 도착했어요.,Je viens d’arriver.,Très récent.
땀이 나다,transpirer,더워서 땀이 나요.,Je transpire à cause de la chaleur.,Sudation.
살아 있다,être vivant,전통이 아직 살아 있어요.,La tradition est encore vivante.,Vivant/encore en vigueur.
살아 있는 생선,poisson vivant,살아 있는 생선을 팔아요.,On vend du poisson vivant.,Frais au marché/restaurant.
,,,,
2과,,,,
국사,nouilles,국사 시험을 준비해요.,Je prépare l’examen d’histoire coréenne.,"Étude de l’histoire coréenne (dynasties, guerres, culture). Matière scolaire qui met l’accent sur l’identité nationale."
닭 칼국수,soupe de nouilles et poulet,닭 칼국수를 두 그릇 시켰어요.,On a commandé deux bols de nouilles au poulet.,"Plat chaud, bouillon clair avec nouilles coupées à la main et poulet. Considéré comme réconfortant, souvent mangé les jours de pluie."
나물,légumes assaisonnés,나물 반찬을 좋아해요.,J’aime les légumes assaisonnés.,Ensemble de légumes cuits ou crus relevés d’huile de sésame et sauce soja. Servis comme accompagnement (반찬).
돌솥 비빔밥,bibimbap en bol de pierre,돌솥 비빔밥 하나 주세요.,"Un bibimbap en marmite, s’il vous plaît.","Version servie dans un bol de pierre brûlante : le riz croustille au fond, souvent garni de légumes, œuf et sauce gochujang."
콩나물 국밥,soupe de riz aux germes de soja,콩나물 국밥은 시원해요.,La soupe de soja est rafraîchissante.,"Spécialité régionale chaude et légère, réputée pour “rafraîchir” le corps. Souvent recommandée contre la gueule de bois."
전,crêpe coréenne salée,김치전을 부쳤어요.,J’ai fait des crêpes au kimchi.,"Friture plate à base de pâte de farine et divers ingrédients ; existe en versions au kimchi, fruits de mer, courgettes, etc."
탕,"soupe claire, bouillon",갈비탕을 먹었어요.,J’ai pris un bol de soupe de côtes.,"Mot générique pour les soupes longues à cuire, claires, plus “sérieuses” que 찌개. Nourrissant et souvent consommé comme repas complet."
갈비탕,soupe de côtes de bœuf,갈비탕은 국물이 진해요.,Le bouillon du galbitang est riche.,"Bouillon de bœuf clair préparé avec des os et des côtes, servi chaud, considéré comme plat énergisant."
해물탕,soupe de fruits de mer,해물탕이 매워요.,La soupe est très épicée.,"Mélange pimenté de crustacés, coquillages, tofu et légumes. Goût fort, très populaire en hiver."
한정식,menu traditionnel coréen,한정식을 먹었어요.,J’ai dégusté un menu hanjeongsik.,Repas complet coréen avec de nombreux plats variés servis à la fois ; symbole d’élégance et d’abondance dans la gastronomie locale.
고추장,pâte de piment rouge fermentée,고추장을 넣었어요.,J’ai ajouté du gochujang.,Ingrédient essentiel coréen (fermentation de piment + riz + soja). Base du goût “épicé-sucré-fermenté” de nombreux plats.
밀가루,farine de blé,밀가루 음식이 좋아요.,J’aime les plats à base de farine.,Ingrédient de base pour pâtes (칼국수) ou crêpes (전). Peut désigner les plats “occidentaux” : 밀가루 음식.
파,oignon vert,파를 썰어 넣었어요.,J’ai coupé et ajouté de la ciboule.,"Garniture omniprésente dans la cuisine coréenne, apporte fraîcheur et parfum. Utile en soupe, omelette, kimchi, etc."
해물,fruits de mer,해물 볶음밥이에요.,C’est du riz sauté aux fruits de mer.,"Désigne l’ensemble des ingrédients issus de la mer : crevettes, seiche, moules, etc. Combine souvent avec 전, 찌개, 볶음."
덜다,se servir (transférer un peu),자기 그릇에 덜어 주세요.,Servez-vous un peu dans votre bol.,Action de prélever du plat commun dans son assiette : geste de partage et de politesse.
비비다,mélanger (aliment),비빔밥을 잘 비비세요.,Mélangez bien le bibimbap.,"Action d’incorporer tous les ingrédients avant de manger, pour homogénéiser les saveurs ; typique du bibimbap."
싸다,envelopper,고기를 쌌어요.,J’ai enveloppé la viande.,"Empaqueter un aliment dans une feuille, une algue, ou un emballage ; aussi “emballer” au sens pratique."
상추에 싸다,envelopper dans de la laitue,상추에 고기를 싸서 먹어요.,On mange la viande roulée dans une feuille de laitue.,"Manière traditionnelle de manger le barbecue (삼겹살). Permet de combiner viande, riz, ail, sauce, en une bouchée."
찍다,tremper (dans une sauce),간장에 찍어 드세요.,Trempez dans la sauce soja.,"Action de plonger brièvement dans une sauce ; typique avec mandu, 전, 고기 grillée."
양념간장에 찍다,tremper dans la sauce soja épicée,만두를 양념간장에 찍었어요.,J’ai trempé les raviolis dans la sauce.,"Sauce composée de soja, vinaigre, piment, ail. Geste quasi automatique à table."
둘이 먹다가 하나 죽어도 모를 만큼 맛있어요,“Tellement bon qu’on en oublierait tout”,이 음식은 정말 그렇게 맛있어요.,C’est si bon qu’on en oublierait le monde.,"Expression typiquement coréenne, humoristique, utilisée pour exagérer le goût exceptionnel d’un plat."
뭐 드실래요?,Que souhaitez-vous manger ?,뭐 드실래요?,Qu’est-ce que vous allez prendre ?,Formule polie standard pour proposer un plat ou prendre commande au restaurant.
뭘로 만든 거예요?,C’est fait avec quoi ?,이건 뭘로 만든 거예요?,C’est fait à partir de quoi ?,Manière naturelle de demander les ingrédients d’un plat ou d’un objet.
아무거나 다 잘 먹어요,Je mange de tout,아무거나 다 잘 먹어요.,Je ne suis pas difficile.,Manière modeste et polie de dire “je ne choisis pas” ; souvent au resto ou chez quelqu’un.
좀 덜 맵게 해 주세요,Un peu moins épicé svp,좀 덜 맵게 해 주세요.,"Faites-le un peu moins épicé, s’il vous plaît.",Formel et courant pour adapter le niveau de piment selon les goûts.
국물,bouillon,국물이 진해요.,Le bouillon est riche.,"Partie liquide d’un plat (탕, 찌개). Très valorisée dans la culture culinaire coréenne."
후식,dessert,후식으로 과일이 나왔어요.,On a eu des fruits en dessert.,"Dessert léger après le repas : fruits, thé, café, ou petit snack."
메뉴,menu (liste de plats),메뉴에 김치찌개가 있어요.,Il y a du kimchi jjigae au menu.,Récapitulatif verbal ou papier des plats disponibles.
메뉴판,"carte, menu imprimé",메뉴판 좀 주세요.,"La carte, s’il vous plaît.","Support physique pour commander, souvent plastifié dans les petits restaurants."
빼다,retirer/enlever,파 좀 빼 주세요.,"Enlevez les oignons verts, s’il vous plaît.",Servi pour omettre un ingrédient particulier lors de la commande.
돼지고기 빼고,sans porc,저는 돼지고기 빼고 주세요.,"Pour moi, sans porc.","Précision fréquente, notamment pour des raisons religieuses ou de goût."
요청하다,"demander, solliciter",도움을 요청했어요.,J’ai demandé de l’aide.,"Forme écrite et polie, employée dans les contextes formels ou administratifs."
부족하다,"manquer de, insuffisant",시간이 부족해요.,Il me manque du temps.,"Quantité ou capacité trop faible ; nuance objective, sans ton dramatique."
덜,"moins, pas complètement",덜 익었어요.,Ce n’est pas assez cuit.,Adverbe indiquant le manque d’un degré ou d’une intensité.
오래,longtemps,오래 기다렸어요?,Vous avez attendu longtemps ?,Sert à exprimer la durée ; souvent opposé à “금방” (rapidement).
자세히,en détail,자세히 설명해 주세요.,"Expliquez en détail, s’il vous plaît.","Indique le soin, la précision d’une explication ou observation."
불판을 갈다,changer la grille du grill,불판 좀 갈아 주세요.,Pouvez-vous changer la grille ?,"Formule classique au barbecue coréen, quand la plaque devient grasse ou brûlée."
더위,chaleur (forte),더위를 많이 타요.,Je supporte mal la chaleur.,"Fait de ressentir la chaleur ; souvent utilisé avec 덥다, 참다."
복날,“jours de canicule” (3 jours spéciaux d’été),복날에는 삼계탕을 먹어요.,On mange du poulet pendant le Boknal.,Croyance traditionnelle : manger chaud pour “combattre le chaud”.
초복,premier jour de Boknal,초복에 삼계탕을 먹었어요.,J’ai mangé du samgyetang au premier Boknal.,Annonce le début des grandes chaleurs (mi-juillet).
중복,deuxième Boknal,중복은 더 더워요.,Il fait encore plus chaud au 2ᵉ Boknal.,"Journée du milieu, souvent la plus étouffante."
말복,dernier Boknal,말복이 지나면 가을이에요.,"Après le dernier Boknal, c’est l’automne.",Clôture de la période des grandes chaleurs.
종류,"type, sorte, gamme",여러 종류의 전이 있어요.,Il y a plusieurs types de jeon.,Catégorie ou variété ; très productif avec tous les noms concrets.
줄,"file, rangée, ligne",줄을 서 주세요.,"Faites la queue, s’il vous plaît.","Peut désigner une file d’attente, une rangée d’objets ou un “trait” sur papier."
줄을 서다,faire la queue,사람들이 줄을 서 있어요.,Les gens font la queue.,"Formule fixe ; comportement ordonné auprès de stands, restaus, bus."
차례,"tour, ordre",이제 제 차례예요.,C’est mon tour maintenant.,Désigne aussi l’ordre rituel ou un rite ancestral (selon contexte).
힘이 생기다,retrouver des forces,삼계탕 먹으니 힘이 생겼어요.,"Après le samgyetang, je me sens en forme.",Sentiment d’énergie retrouvée après un repas ou un repos.
네? 뭐라고요?,Pardon ? Que dites-vous ?,네? 뭐라고요?,"Pardon, vous avez dit ?","Réplique polie pour faire répéter, typique de la conversation naturelle."
닭이 다 떨어졌어요,On n’a plus de poulet,오늘 닭이 다 떨어졌어요.,On est à court de poulet aujourd’hui.,Expression pour annoncer une rupture de stock au resto ou au marché.
"아, 그렇군요","Ah, je vois","아, 그렇군요.","Ah, je comprends.","Réponse polie montrant l’écoute et l’accord ; ton formel, utilisé aussi en travail."
이야기 좀 하면서 기다리지요,Attendons en discutant un peu,"이야기 좀 하면서 기다리지요, 뭐.",Attendre tranquillement en discutant.,"Expression amicale, détendue : on ne presse pas les choses."
이제 우리 차례예요,C’est notre tour maintenant,이제 우리 차례예요.,C’est enfin notre tour.,Expression typique dans une file d’attente ou un service.
점심시간이 다 됐네요,C’est presque l’heure du déjeuner,점심시간이 다 됐네요.,Il est presque midi.,"Observation de situation, façon polie d’introduire une pause."
속, intérieur/esrtomac (pas scientifique),속이 안 좋아요.,J’ai mal à l’estomac.,"Peut désigner soit l’intérieur du corps (胃), soit la « pensée intérieure ». Très fréquent avec verbes composés."
속이 불편하다,avoir l’estomac dérangé,기름진 음식 먹어서 속이 불편해요.,J’ai l’estomac barbouillé après avoir mangé gras.,Expression de malaise digestif ; peut aussi se dire figurativement (mal à l’aise).
속이 시원하다,"être soulagé, se sentir bien",말하고 나니 속이 시원해요.,Je me sens soulagé après l’avoir dit.,"Expression d’un soulagement profond, soit physique, soit émotionnel."
달콤하다,être doux/sucré,달콤한 디저트를 좋아해요.,J’aime les desserts sucrés.,"Désigne un goût sucré, mais peut aussi qualifier une parole ou atmosphère “douce”."
거의,"presque, quasiment",거의 다 왔어요.,On est presque arrivés.,Adverbe de quasi-réalisation ; marque la proximité dans le temps ou la distance.
그동안 잘 지내셨어요?,Vous alliez bien depuis le temps ?,그동안 잘 지내셨어요?,Comment allez-vous depuis tout ce temps ?,"Formule de retrouvailles polie et chaleureuse, souvent lors de rencontres après plusieurs semaines/mois."
끓다,faire bouillir,물을 끓고 있어요.,je fais bouillir l'eau.,"Sert aussi pour “être en effervescence” (rage, passion, foule) selon le contexte."
,,,,
,,,,
3과,,,,
안과,ophtalmologie,눈이 아파서 안과에 갔어요.,Je suis allé(e) chez l’ophtalmologue parce que j’avais mal aux yeux.,"Service médical spécialisé dans les yeux et la vision. Utilisé pour problèmes de vue, infections, lentilles, etc."
이비인후과,oto‑rhino‑laryngologie (ORL),귀가 먹먹해서 이비인후과에 갔어요.,J’ai consulté un ORL pour mes oreilles bouchées.,"S’occupe des oreilles, du nez et de la gorge. Terme courant pour maux de gorge, otites, sinusites."
피부과,dermatologie,여드름 때문에 피부과에 다녀요.,Je vais chez le dermatologue pour l’acné.,"Clinique pour la peau (acné, éruptions, soins esthétiques). Très fréquent pour traitements et conseils cosmétiques."
내과,médecine interne  (médecine générale),감기 증상으로 내과에 다녀왔어요.,Je suis allé au service de médecine interne pour des symptômes de rhume.,"Spécialité traitant des maladies internes non chirurgicales (rhume, 고혈압, 당뇨, 소화기 질환 등). Clinique/hôpital: 내과 진료, 내과 의사."
증상,symptôme,증상이 어떤가요?,Quels sont vos symptômes ?,"Terme générique médical pour décrire ce que ressent le patient (fièvre, toux, douleur). Utilisé dans les échanges médecin‑patient."
가스가 차다,"être ballonné, avoir des gaz",가스가 차서 배가 불편해요.,"J’ai des gaz, mon ventre est inconfortable.","Expression pour l’inconfort digestif (ballonnements, flatulences). Peut causer douleur ou sensation de plénitude."
눈이 충혈되다,avoir les yeux rouges,밤새워서 눈이 충혈됐어요.,Mes yeux sont rouges après une nuit blanche.,"Rougeur due à fatigue, irritation, allergie ou infection; souvent visible et fréquent."
두통이 심하다,avoir de violents maux de tête,두통이 심해서 일을 못 했어요.,J’avais si mal à la tête que je n’ai pas pu travailler.,Indique une douleur intense; peut justifier un analgésique ou visite médicale si persistant.
속이 답답하다,avoir l’estomac serré / sensation d’oppression,속이 답답하고 힘이 없어요.,J’ai une sensation d’oppression dans l’estomac et je suis faible.,"Peut être digestif (indigestion) ou émotionnel (stress, anxiété). Contexte détermine le sens."
속이 쓰리다,avoir des brûlures d’estomac,매운거 먹고 속이 쓰려요.,J’ai des brûlures d’estomac après avoir mangé épicé.,Sensation de brûlure/irritation gastrique liée à l’acidité ou au reflux.
얼굴에 뭐가 나다,avoir des boutons / imperfections,스트레스 받아서 얼굴에 뭐가 났어요.,J’ai des boutons au visage à cause du stress.,Expression naturelle pour dire qu’une éruption ou des imperfections sont apparues sur le visage.
콧물이 나다,avoir le nez qui coule,감기 걸려서 콧물이 나요.,"J’ai le nez qui coule, j’ai attrapé un rhume.",Très courant pour rhume/allergie; littéralement « du nez sort ».
토하다,vomir,배 아파서 토했어요.,J’ai vomi parce que j’avais mal au ventre.,Verbe direct et courant; usage médical: 구토하다 (plus formel). Peut indiquer intoxication ou maladie gastro‑intestinale.
깁스를 하다,porter un plâtre,팔에 깁스를 했어요.,J’ai un plâtre au bras.,Action/état après fracture ou blessure osseuse. S’emploie dans le contexte orthopédique.
넘어지다,tomber,계단에서 넘어졌어요.,Je suis tombé(e) dans les escaliers.,"Perdre l’équilibre et chuter; peut entraîner contusions, entorses, fractures."
미끄러지다,glisser,길이 얼어서 미끄러졌어요.,J’ai glissé sur la route gelée.,Glisser sur une surface; souvent cause d’accidents domestiques ou extérieurs.
발목을 삐다,se fouler la cheville,운동하다가 발목을 삐었어요.,Je me suis foulé(e) la cheville en faisant du sport.,"« 삐다/삐다 » = se fouler, tordre une articulation; provoque douleur, enflure; traitement: repos, glaçage, bandage."
와/과 부딪치다,"heurter, entrer en collision (avec)",자전거와 부딪쳤어요.,Je suis entré(e) en collision avec un vélo.,와/과 s’utilisent selon la terminaison précédente (consonne/voyelle). Verbe pour chocs physiques entre objets/personnes.
부러지다,"se casser (os, objet)",뼈가 부러졌어요.,J’ai un os cassé.,Utilisé pour fractures d’os ou rupture d’objets longs; souvent suivi de radiographie et immobilisation.
손을 불에 데다,se brûler la main,뜨거운 냄비에 손을 데었어요.,Je me suis brûlé(e) la main sur une casserole chaude.,"« 데다 » = se brûler par contact avec chaleur; degrés et soins varient (refroidir, désinfecter)."
손을 칼에 베다,se couper la main avec un couteau,요리하다가 손을 칼에 베었어요.,Je me suis coupé(e) en cuisinant.,"Coupure par lame; selon profondeur, nettoyages, points de suture possibles."
어떻게 하다가 그랬어요?,Comment cela s’est‑il produit ?,어제 넘어졌다고요? 어떻게 하다가 그랬어요?,Vous êtes tombé(e) hier ? Comment cela est‑il arrivé ?,Question courante d’un médecin ou proche pour connaître le mécanisme de la blessure (important pour diagnostic).
규칙적,régulier,규칙적으로 운동하세요.,Faites de l’exercice régulièrement.,"Qualifie une habitude qui se répète selon une routine; souvent conseillé en santé (sommeil, repas, sport)."
발목,cheville,발목이 부었어요.,Ma cheville est enflée.,Partie du corps entre jambe et pied; fréquente pour entorses et foulures.
접수,"enregistrement, accueil",접수 먼저 하세요.,Enregistrez‑vous d’abord.,"Terme administratif/bureau pour l’acte d’inscription ou réception de dossier (hôpital, concours)."
접수처,"guichet d’accueil, réception",접수처가 1층에 있어요.,La réception est au rez‑de‑chaussée.,"Lieu physique où l’on dépose dossiers, prend rendez‑vous ou paie; point de départ des démarches."
접수를 하다,"s’enregistrer, déposer (dossier)",병원에서 접수를 했어요.,Je me suis enregistré(e) à l’hôpital.,Action effectuée par le patient ou son accompagnant pour commencer la procédure administrative.
접수를 받다,recevoir des inscriptions,지금 접수를 받고 있습니다.,Nous acceptons les inscriptions maintenant.,Formulation côté établissement; indique qu’on enregistre les demandes/dossiers.
진찰,"consultation médicale, examen",진찰 전에 체온을 재요.,On prend la température avant la consultation.,"Examen clinique réalisé par un médecin (auscultation, palpation, questions). Mot courant sur feuille et en discussion."
진찰을 받다,se faire examiner,병원에서 진찰을 받았어요.,J’ai été examiné(e) à l’hôpital.,Expression complète pour décrire la visite médicale; souvent suivie de 처방.
처방,ordonnance,의사가 처방을 해줬어요.,Le médecin m’a donné une ordonnance.,Document ou indication pharmaceutique listant médicaments et posologie.
처방하다,prescrire,의사가 약을 처방했어요.,Le médecin a prescrit des médicaments.,Action du médecin; formelle et réglementée (certaines substances nécessitent ordonnance).
환자,patient,환자가 많아서 대기 시간이 길어요.,"Il y a beaucoup de patients, l’attente est longue.","Personne recevant des soins médicaux; utilisé dans hôpitaux, cliniques."
내려가다,descendre (e.g. : escalier); baisser (fièvre),열이 내려가서 한결 편해요.,"La fièvre a baissé, ça va mieux.","Mouvement vers le bas physique, ou diminution (température, intensité)."
급하다,"urgent, pressé",일이 급해서 병원에 빨리 갔어요.,"C’était urgent, je suis allé(e) vite à l’hôpital.",Sens d’urgence ou de précipitation; peut qualifier une situation médicale ou comportementale.
급하게 먹다,manger trop vite,급하게 먹어서 체했어요.,J’ai mal digéré parce que j’ai mangé trop vite.,"Manger en hâte peut provoquer indigestion, reflux, étouffement; souvent déconseillé."
차다,être froid / être plein,손이 차요. / 가방이 꽉 차요.,Mes mains sont froides. / Le sac est plein.,Mot polyvalent : froid au toucher (médical/confort) ou rempli; sens dépend du contexte.
찬 음식,plat froid,감기 걸렸을 때 찬 음식은 피하세요.,Évitez les plats froids quand vous avez un rhume.,"Dans la pratique populaire, les aliments froids peuvent être déconseillés pour l’estomac ou lors d’un rhume."
렌즈를 끼다,mettre des lentilles,아침에 렌즈를 끼고 출근해요.,Je mets mes lentilles le matin avant d’aller au travail.,Verbe standard pour insérer lentilles de contact; attention à l’hygiène (risques infectieux).
약을 짓다,préparer un médicament (pharmacien / herboriste),약국에서 한약을 지어 드렸습니다.,Nous avons préparé l’herbe médicinale pour vous à la pharmacie.,S’emploie pour la préparation sur mesure (principalement en médecine traditionnelle ou officinale).
많이 놀랐겠어요,Vous avez dû avoir très peur (ou être très surpris),많이 놀랐겠어요—괜찮으세요?,Vous avez dû être très choqué — ça va ?,"Expression empathique utilisée par médecins, infirmiers ou proches après un accident ou mauvaise nouvelle."
어디 좀 봅시다,Laissez‑moi voir / Voyons ça,상처를 보세요—어디 좀 봅시다.,Regardez la blessure — voyons un peu.,Phrase professionnelle qu’un médecin/infirmier dira avant d’examiner une blessure ou symptôme.
소화제,médicament digestif,소화제를 먹고 나니 속이 편해졌어요.,"Après le digestif, je me sens mieux.",Remède courant contre lourdeurs/brûlures d’estomac. S’achète facilement en pharmacie; souvent conseillé après repas copieux.
식후,après le repas,이 약은 식후에 드세요.,Prenez ce médicament après le repas.,"Indication fréquente sur ordonnances/boîtes. Opposé: 식전 (avant repas), 식간 (entre repas)."
약사,pharmacien,궁금한 점은 약사에게 물어보세요.,Posez vos questions au pharmacien.,"Professionnel qui délivre les médicaments, explique posologie/effets secondaires; premier conseil accessible."
위,estomac,위가 안 좋아서 매운 걸 못 먹어요.,"Mon estomac est fragile, je ne peux pas manger épicé.","Organe; entre souvent dans composés médicaux (위염, 위궤양). Ne pas confondre avec 위(上)=“au‑dessus”."
위염,gastrite,스트레스로 위염이 심해졌어요.,Ma gastrite s’est aggravée à cause du stress.,"Inflammation de l’estomac: douleurs, brûlures, nausées. Requiert souvent régime doux + traitement acide."
자극적(이다)," (être) irritant, très relevé",자극적인 음식은 당분간 피하세요.,Évitez les aliments trop relevés pour l’instant.,"Qualifie plats épicés/salés/gras/acides qui “agressent” l’estomac ou la peau. Contextes: diète, dermatologie."
다치다,,,,
처방전,ordonnance,처방전을 약국에 제출하세요.,Remettez l’ordonnance à la pharmacie.,Document du médecin listant médicaments et posologie. Nécessaire pour certains produits.
치료,"traitement, soin",적절한 치료가 필요해요.,Un traitement approprié est nécessaire.,"Processus de soins (médicaments, thérapies). Terme général, médical ou psychologique."
치료를 받다,recevoir un traitement,병원에서 꾸준히 치료를 받고 있어요.,Je suis un traitement régulier à l’hôpital.,Formulation côté patient; insiste sur la continuité et l’encadrement professionnel.
음식이 부드럽다,nourriture tendre,회복 중이라 음식이 부드러워요.,"En convalescence, la nourriture est tendre.","Texture facile à mâcher/digerer (죽, 두부…). Recommandée pour troubles digestifs ou dentaires."
꾸준히,"continuellement, avec constance",꾸준히 운동하면 효과가 있어요.,Le sport régulier porte ses fruits.,Insiste sur la constance à long terme. Pas vraiment aussi structuré que 큐칙적 mais Valeur clé en santé/études/habitudes.
3일치,pour trois jours (quantité),약은 3일치로 처방됐어요.,Les médicaments sont pour trois jours.,Indique la durée couverte par l’ordonnance. Structure productive: N일치/N주치.
뭐 잘못 드셨어요?,Vous avez mangé quelque chose de mauvais ?,배탈 나셨다구요? 뭐 잘못 드셨어요?,Vous avez mal au ventre? Vous avez mangé quelque chose de mauvais?,"Question typique du médecin pour suspecter intoxication/intolérance. Polie, conversationnelle."
아이고,oh là là; mince…,"아이고, 많이 속상하셨겠어요.","Oh là là, ça a dû être pénible.","Interjection empathique ou surprise. Très naturel et fréquent, de ton familier à respectueux selon intonation."
어떻게 오셨어요?,Qu’est‑ce qui vous amène ?,병원에서 “어떻게 오셨어요?”라고 물어요.,"À l’hôpital, on demande « Qu’est‑ce qui vous amène ? ».",Formule standard d’accueil pour connaître le motif de venue (symptômes/problème).
지금 가 봐야겠어요,Il faut que j’y aille maintenant,상태가 심해서 지금 가 봐야겠어요.,"C’est sérieux, je dois y aller maintenant.",Indique décision immédiate de se déplacer (urgence/impératif). Poli et ferme.
건강식품,produits de santé,부모님께 건강식품을 선물했어요.,J’ai offert des produits de santé à mes parents.,"Catégorie large (miel, 홍삼, 비타민). Entre aliment et complément; très populaire comme cadeau."
달리기,course à pied,아침 달리기를 습관으로 만들었어요.,J’ai fait de la course matinale une habitude.,Exercice simple pour cardio/stress. Collocations: 달리기를 하다/즐기다/시작하다.
