한글,French,Example Sentence,Translated Sentence,Explanation
제대하다,être libéré du service militaire,작년에 제대했어요.,J'ai été libéré de l'armée l'année dernière.,Verbe spécifique à la fin du service militaire obligatoire (pour les hommes coréens). Étape importante de la vie.
씩씩하다,"être plein d'énergie, courageux",새 회원이 참 씩씩해 보여요.,Le nouveau membre a l'air très énergique.,"Qualité positive décrivant quelqu'un de dynamique, vaillant et déterminé."
잘하기는요. 아직 멀었어요.,Je ne suis pas si bon. J'ai encore du chemin.,한국어 잘하시네요! - 잘하기는요. 아직 멀었어요.,"Vous parlez bien coréen ! - Je ne suis pas si bon, j'ai encore du chemin.",Expression de modestie typiquement coréenne pour rejeter poliment un compliment.
부족하니까 많이 도와주세요.,"Je ne suis pas assez bon, aidez-moi beaucoup SVP.",경험이 부족하니까 많이 도와주세요.,"Je manque d'expérience, merci de m'aider.",Formule humble pour solliciter le soutien des autres. Valorise l'harmonie du groupe.
저렴하다,"être abordable, bon marché",가격이 저렴해서 자주 가요.,Le prix est abordable donc j'y vais souvent.,Adjectif positif pour un bon rapport qualité-prix. Plus poli que 싸다.
시급,salaire horaire,시급이 얼마예요?,Quel est le salaire horaire ?,Terme de rémunération pour emplois à temps partiel ou intérim.
사회를 맡다,animer/modérer un événement,이번 행사 사회를 맡게 됐어요.,J'ai été chargé d'animer cet événement.,Expression pour être responsable de la conduite d'une cérémonie/réunion.
앞으로 나오다,"venir devant, s'avancer",발표자는 앞으로 나와 주세요.,"Les présentateurs, veuillez vous avancer.","Mouvement physique vers l'avant, typique lors de présentations publiques."
경험을 쌓다,accumuler de l'expérience,여러 활동으로 경험을 쌓고 있어요.,J'accumule de l'expérience par diverses activités.,Collocation fixe pour le développement professionnel/personnel.
들르다,"passer par, faire un détour",집에 가는 길에 카페에 들렀어요.,Je suis passé au café en rentrant.,Visite courte et souvent non planifiée lors d'un trajet.
뽑다,"choisir, élire, sélectionner",회장을 뽑았어요.,Nous avons élu un président.,"Verbe pour sélection formelle (vote, casting, tirage)."
진행을 하다,conduire/diriger (une réunion),회의 진행을 제가 할게요.,Je vais diriger la réunion.,Expression formelle pour gérer le déroulement d'un événement.
돌아가면서 소개를 하다,se présenter à tour de rôle,돌아가면서 자기소개를 해 볼까요?,Et si on se présentait chacun son tour ?,Pratique courante lors de premières réunions de groupe.
-이라고 불러 주세요.,Appelez-moi... SVP,저는 민호라고 불러 주세요.,"Appelez-moi Minho, s'il vous plaît.",Formule polie pour indiquer son nom préféré/surnom.
-고 싶은 마음이 생기다,avoir envie de faire (qqch),여행 가고 싶은 마음이 생겼어요.,J'ai eu envie de voyager.,"Expression pour un désir naissant, une motivation émergente."
정확하다,"être précis, exact",정보가 정확해요.,L'information est précise.,Qualifie des données/faits vérifiés et corrects.
신고식,cérémonie d'initiation,신입생 신고식이 있어요.,Il y a une cérémonie d'initiation pour les nouveaux.,"Rituel de bienvenue, parfois éprouvant selon les contextes (clubs, armée)."
마음의 여유를 찾다,retrouver la sérénité,명상으로 마음의 여유를 찾았어요.,J'ai retrouvé la paix intérieure par la méditation.,Expression pour le bien-être mental et la détente psychologique.
도보 여행,"voyage à pied, randonnée",제주도 도보 여행을 했어요.,J'ai fait une randonnée à Jeju.,"Tourisme lent et contemplatif, très populaire en Corée."
구석구석,"dans tous les recoins, partout",서울 구석구석을 다녀봤어요.,J'ai exploré tous les recoins de Séoul.,Expression imagée pour une exploration exhaustive.
공지되다,être annoncé publiquement,일정이 공지됐어요.,Le calendrier a été annoncé.,"Forme passive pour communication officielle (affichage, mail)."
입금하다,"faire un dépôt, virer",회비를 입금했어요.,J'ai versé la cotisation.,Action bancaire courante pour paiements/cotisations.
연 1회,"une fois par an, annuel",연 1회 정기 총회가 있어요.,Il y a une assemblée générale annuelle.,"Expression de fréquence formelle, typique des statuts d'associations."
정기 모임,réunion régulière,매월 둘째 주에 정기 모임이 있어요.,La réunion régulière a lieu la deuxième semaine de chaque mois.,"Rencontre planifiée selon un calendrier fixe (clubs, comités)."
정보를 나누다,partager des informations,회원들과 정보를 나눴어요.,J'ai partagé des informations avec les membres.,Échange collaboratif de connaissances/données.
-에 참여하다,participer à,봉사 활동에 참여했어요.,J'ai participé à une activité bénévole.,Verbe d'engagement actif dans une activité.
피겨 스케이팅,patinage artistique,피겨 스케이팅을 배우고 있어요.,J'apprends le patinage artistique.,Sport olympique combinant technique et grâce.
함께하다,"être ensemble, partager",즐거운 시간을 함께했어요.,Nous avons passé un moment agréable ensemble.,Verbe pour compagnie et expériences partagées.
아이스 댄싱,danse sur glace,아이스 댄싱 공연을 봤어요.,J'ai vu un spectacle de danse sur glace.,"Discipline de patinage en couple, très chorégraphiée."
-을 중심으로,"centré sur, autour de",초보자를 중심으로 수업을 해요.,Les cours sont centrés sur les débutants.,Expression pour indiquer le focus principal d'une activité.
하나가 되다,"ne faire qu'un, être unis",우리 팀은 하나가 됐어요.,Notre équipe ne fait qu'un.,Métaphore d'unité et cohésion de groupe.
초보자,"débutant, novice",저는 아직 초보자예요.,Je suis encore débutant.,"Personne en phase d'apprentissage, sans expérience."
도전하다,"relever un défi, tenter",새로운 취미에 도전했어요.,J'ai tenté un nouveau hobby.,Verbe positif d'engagement courageux dans l'inconnu.
즐기다,"apprécier, profiter de",음악을 즐기며 살아요.,Je vis en profitant de la musique.,Attitude hédoniste et positive envers une activité.
전문가,"expert, spécialiste",그 분은 요리 전문가예요.,C'est un expert en cuisine.,Personne hautement qualifiée dans un domaine.
기본적이다,"être basique, fondamental",기본적인 규칙을 배워요.,On apprend les règles de base.,Qualifie les éléments essentiels d'un apprentissage.
-는 시간을 갖다,prendre le temps de (faire qqch),회원들과 대화하는 시간을 가졌어요.,Nous avons pris le temps de discuter entre membres.,Expression pour activités délibérées et valorisées.
방문하다,visiter (un lieu),박물관을 방문했어요.,J'ai visité le musée.,Verbe formel de déplacement vers un lieu précis.
맛을 보다,"goûter, essayer (nourriture)",여러 음식 맛을 봤어요.,J'ai goûté plusieurs plats.,Expression culinaire pour découverte de saveurs.
번개 모임,"rencontre spontanée, flash mob",주말에 번개 모임 할까요?,On fait une rencontre impromptue ce week-end ?,Rassemblement organisé rapidement via réseaux sociaux.
모임을 갖다,"tenir une réunion, se rassembler",다음 주에 모임을 가져요.,Nous aurons une réunion la semaine prochaine.,Expression formelle pour organiser un rassemblement.
뜨거운 관심을 갖다,être passionné par,환경 문제에 뜨거운 관심을 가져요.,Je suis passionnément intéressé par les questions environnementales.,Métaphore intense pour un intérêt profond et engagé.
인생,vie (existence),인생은 짧아요.,La vie est courte.,Terme philosophique pour l'existence humaine globale.
사물놀이,musique traditionnelle sur 4 percussions,사물놀이 공연이 멋있었어요.,La performance de samulnori était magnifique.,"Art traditionnel coréen dynamique et énergique (장구, 징, 꽹과리, 북)."
타악기,instrument de percussion,타악기를 배우고 싶어요.,Je veux apprendre les percussions.,"Famille d'instruments frappés (tambours, cymbales, etc.)."
기초,"bases, fondamentaux",기초부터 다시 배워요.,Je réapprends depuis les bases.,Fondations essentielles d'une discipline.
전국,"à l'échelle nationale, tout le pays",전국에서 모였어요.,Des gens de tout le pays se sont rassemblés.,Portée géographique maximale en Corée.
긴급 구호가,secouriste d'urgence,긴급 구호가로 활동했어요.,J'ai travaillé comme secouriste d'urgence.,Professionnel intervenant en situations de crise humanitaire.
-을 모으다,"rassembler, collecter",기부금을 모으고 있어요.,Nous collectons des dons.,"Verbe d'accumulation (objets, fonds, personnes)."
건강 관리,gestion de la santé,건강 관리를 잘 해야 해요.,Il faut bien gérer sa santé.,"Pratiques préventives (alimentation, sport, sommeil)."
여행 경비,frais de voyage,여행 경비를 절약했어요.,J'ai économisé sur les frais de voyage.,Budget nécessaire pour déplacements et séjours.
마련하다,"préparer, mobiliser (fonds/ressources)",자금을 마련했어요.,J'ai mobilisé les fonds.,Verbe d'organisation logistique/financière.
오지,"région isolée, contrée reculée",아프리카 오지에 갔어요.,Je suis allé dans une région reculée d'Afrique.,"Zones géographiques difficiles d'accès, peu développées."
소 똥,bouse de vache,소 똥을 연료로 쓰는 곳도 있어요.,"Dans certains endroits, on utilise la bouse comme combustible.",Matière organique parfois utilisée traditionnellement.
-에 머무르다,"séjourner, rester à",호텔에 3일 머물렀어요.,J'ai séjourné 3 jours à l'hôtel.,Verbe de durée pour hébergement temporaire.
벌레,"insecte, vermine",방에 벌레가 있어요.,Il y a des insectes dans la chambre.,Terme générique pour petits animaux rampants/volants.
말라리아,paludisme,말라리아 예방약을 먹어요.,Je prends un traitement antipaludique.,Maladie tropicale transmise par moustiques.
독하다,"être fort, puissant (goût/odeur)",이 약은 냄새가 독해요.,Ce médicament a une odeur forte.,Intensité désagréable ou dangereuse.
약이 독하다,le médicament est fort,약이 독해서 조심해야 해요.,"Le médicament est fort, il faut faire attention.",Avertissement sur la puissance/effets secondaires.
이동하다,"se déplacer, bouger",다른 장소로 이동했어요.,Nous nous sommes déplacés vers un autre endroit.,Mouvement d'un point A à un point B.
목적지,destination,목적지에 도착했어요.,Nous sommes arrivés à destination.,Point final d'un voyage ou trajet.
태워주다,"déposer en voiture, donner un lift",집까지 태워줄게요.,Je vais te déposer chez toi.,Acte de courtoisie de transport.
장의차,corbillard,장의차를 봤어요.,J'ai vu un corbillard.,Véhicule funéraire pour transport de cercueil.
10일 이상,plus de 10 jours,10일 이상 여행했어요.,J'ai voyagé plus de 10 jours.,Expression de durée minimale.
신문에 나다,paraître dans le journal,우리 동호회가 신문에 났어요.,Notre club est paru dans le journal.,"Être médiatisé, gagner en visibilité publique."
계기,"occasion, opportunité, déclencheur",이 일이 계기가 됐어요.,Cet événement a été le déclencheur.,Élément qui provoque un changement ou décision.
난민촌,camp de réfugiés,난민촌에서 봉사했어요.,J'ai fait du bénévolat dans un camp de réfugiés.,Zone d'accueil temporaire pour personnes déplacées.
-을 살리다,sauver (une vie),환자의 생명을 살렸어요.,Ils ont sauvé la vie du patient.,"Verbe d'intervention vitale (médical, sauvetage)."
도움을 구하다,chercher de l'aide,응급 상황에 도움을 구했어요.,J'ai cherché de l'aide en situation d'urgence.,Demander assistance dans la détresse.
마음먹다,"se décider, prendre une résolution",유학 가기로 마음먹었어요.,J'ai décidé de partir étudier à l'étranger.,Verbe d'engagement mental ferme.
삶,vie (existence quotidienne),삶이 힘들어요.,La vie est difficile.,Terme concret pour l'existence vécue au jour le jour.
사는 방식,"mode de vie, manière de vivre",사는 방식이 달라요.,Notre mode de vie est différent.,Style personnel d'organisation et de valeurs.
,,,,
2과,,,,
이야기를 나누다,"discuter, converser",친구와 이야기를 나누며 시간을 보냈어요.,J'ai passé du temps à discuter avec un ami.,Échange informel et profond de pensées/expériences.
방송에 나오다,passer à la TV,그 가수가 방송에 나왔어요.,Ce chanteur est passé à la TV.,Apparition médiatique publique sur une émission.
꾸준히,"régulièrement, de façon constante",꾸준히 공부하면 실력이 늘어요.,"Si on étudie régulièrement, on progresse.",Insiste sur la persévérance sans interruption.
운영하다,"gérer, exploiter",클럽을 운영해요.,Je gère le club.,Administration quotidienne d'une organisation/entreprise.
막걸리,makgeolli (alcool de riz),막걸리 한 잔 드실래요?,Vous voulez un verre de makgeolli ?,"Boisson traditionnelle trouble, fermentée, populaire en Corée."
전문점,magasin spécialisé,막걸리 전문점에 가요.,Allons dans une boutique spécialisée en makgeolli.,Commerce dédié à un produit unique ou niche.
원래,"à l'origine, habituellement",원래는 조용한 사람이었어요.,"À l'origine, c'était une personne calme.",État initial ou situation normale avant changement.
지역,"région, quartier",지역 축제가 열려요.,Il y a un festival local.,"Zone géographique spécifique (ville, quartier)."
그러던 어느 날,et puis un jour,그러던 어느 날 큰 기회가 왔어요.,"Et puis un jour, une grande opportunité est arrivée.",Transition narrative pour un événement inattendu.
관심을 가지다,s'intéresser à,한국 문화에 관심을 가졌어요.,Je me suis intéressé à la culture coréenne.,Développer un intérêt conscient pour un sujet.
격려하다,encourager,친구를 격려해 주세요.,Encouragez votre ami.,Donner du courage/motivation à quelqu'un.
용기가 생기다,trouver du courage,그 말을 듣고 용기가 생겼어요.,Ces mots m'ont donné du courage.,Émergence soudaine de bravoure/confiance.
트로트,trot (musique pop coréenne),트로트 가수를 좋아해요.,J'aime les chanteurs de trot.,"Genre musical sentimental, populaire chez les seniors."
인기상을 타다,remporter le prix de popularité,트로트 경연에서 인기상을 탔어요.,J'ai gagné le prix de popularité au concours de trot.,Award basé sur les votes du public/spectateurs.
상금,argent du prix,상금 100만 원을 받았어요.,J'ai reçu 1 million de wons de prix.,Récompense monétaire d'un concours/événement.
조언 한 말씀 부탁드립니다.,Je vous demande un conseil.,"선배님, 조언 한 말씀 부탁드립니다.","Senior, un conseil s'il vous plaît.",Formule polie pour solliciter un avis expérimenté.
완벽하다,être parfait,이 계획은 완벽해요.,Ce plan est parfait.,"Sans défaut, idéal dans tous les aspects."
생활 속에서,dans la vie quotidienne,생활 속에서 배워요.,On apprend dans la vie de tous les jours.,Contexte du quotidien domestique/routinier.
이만큼,"à ce point, autant",이만큼 노력했어요.,J'ai tant travaillé.,Mesure d'intensité/effort accompli.
자꾸,"sans cesse, repeatedly",자꾸 잊어버려요.,J'oublie tout le temps.,Répétition agaçante ou habituelle.
도둑 역할,rôle de voleur,도둑 역할을 맡았어요.,J'ai eu le rôle du voleur.,Personnage antagoniste dans une pièce/théâtre.
인기를 모으다,gagner en popularité,그 코미디언이 인기를 모았어요.,Ce comédien a gagné en popularité.,Accumuler l'affection/admiration du public.
개그맨,"comédien, humoriste",유명 개그맨이에요.,C'est un célèbre humoriste.,Professionnel du rire en TV/sketchs.
대사,réplique (théâtre),대사를 잊어버렸어요.,J'ai oublié ma réplique.,Texte parlé par un personnage.
표정,expression faciale,표정이 자연스러워요.,L'expression faciale est naturelle.,Mouvements du visage transmettant émotions.
동작,"geste, mouvement",동작이 부드러워요.,Les mouvements sont fluides.,Action physique corporelle.
감정을 전달하다,transmettre une émotion,연기가 감정을 잘 전달해요.,Le jeu d'acteur transmet bien les émotions.,Communication non verbale d'états intérieurs.
마임,mime,마임 공연을 봤어요.,J'ai vu un spectacle de mime.,Art du théâtre gestuel sans paroles.
무술,arts martiaux,무술을 수련해요.,Je m'entraîne aux arts martiaux.,Disciplines de combat traditionnelles.
훈련하다,"s'entraîner, dresser",매일 훈련해요.,Je m'entraîne tous les jours.,Entraînement intensif/répétitif.
-을 꿈꾸다,rêver de (faire qqch),스타가 되는 걸 꿈꿔요.,Je rêve de devenir star.,"Aspiration profonde, souvent professionnelle."
무대에 서다,monter sur scène,무대에 서는 게 꿈이에요.,Mon rêve est de monter sur scène.,Débuter une performance publique.
과정이 힘들다,le processus est difficile,준비 과정이 힘들었어요.,Le processus de préparation était dur.,Étapes intermédiaires laborieuses.
원하다,"désirer, vouloir",성공을 원해요.,Je désire le succès.,Volonté consciente et forte.
박수,applaudissements,관객이 박수를 쳤어요.,Le public a applaudi.,Manifestation sonore d'approbation.
초대 손님,invité spécial,유명 가수가 초대 손님이에요.,Un chanteur célèbre est l'invité spécial.,Célébrité invitée pour un événement/show.
역할을 바꾸다,échanger les rôles,역할을 바꿔서 해봤어요.,On a échangé les rôles.,Inversion des personnages assignés.
학습,"apprentissage, étude",효과적인 학습 방법이에요.,C'est une méthode d'apprentissage efficace.,Processus structuré d'acquisition de savoir.
유형,"type, catégorie",어떤 학습 유형인가요?,Quel type d'apprentissage ?,Classification par caractéristiques communes.
자세하게,en détail,자세하게 설명해 주세요.,Expliquez en détail s'il vous plaît.,Niveau de précision élevé/complet.
전체적으로,globalement,전체적으로 봤을 때 좋아요.,"Globalement, c'est bien.",Vue d'ensemble sans focus sur détails.
해당되다,"s'appliquer à, concerner",이 규칙이 해당돼요.,Cette règle s'applique.,Pertinence directe à un cas précis.
깊이,profondément,깊이 생각해 봤어요.,J'y ai profondément réfléchi.,Intensité émotionnelle/intellectuelle.
머리 속으로,dans sa tête,머리 속으로 연습했어요.,J'ai répété dans ma tête.,Pensée silencieuse intérieure.
-을 두려워하다,"craindre, avoir peur de",무대를 두려워해요.,J'ai peur de la scène.,Peur intense et irrationnelle.
생각나는 대로,au fur et à mesure des idées,생각나는 대로 말했어요.,J'ai parlé comme les idées venaient.,"Sans ordre préétabli, spontanément."
틀리게 말하다,se tromper de mots,긴장해서 틀리게 말했어요.,"Stressé, je me suis trompé dans mes mots.",Erreur verbale involontaire.
홀수,nombre impair,"홀수는 1, 3, 5예요.","Les impairs sont 1, 3, 5.",Mathématiques : non divisible par 2.
짝수,nombre pair,"짝수는 2, 4, 6이에요.","Les pairs sont 2, 4, 6.",Mathématiques : divisible par 2.
생각형,type penseur (réfléchit avant d'agir),저는 생각형이에요.,Je suis du type penseur.,Profil psychologique analytique/prudent.
행동형,type acteur (agit avant de réfléchir),친구는 행동형이에요.,Mon ami est du type acteur.,Profil psychologique impulsif/décisif.
순서대로,dans l'ordre,순서대로 진행해요.,On procède dans l'ordre.,Séquence logique/numérotée.
요약하다,résumer,내용을 요약해 주세요.,Résumez le contenu.,Synthèse concise des points essentiels.
줄거리,"intrigue, résumé",영화 줄거리를 알려주세요.,Dis-moi l'intrigue du film.,Résumé narratif d'une histoire.
답답하다,"frustrant, étouffant",상황이 답답해요.,La situation est frustrante.,Sensation d'oppression/impuissance.
순차형,type séquentiel (fait dans l'ordre),순차형 사람이 많아요.,Beaucoup sont du type séquentiel.,Profil qui suit les étapes méthodiquement.
전체형,type global (voit l'ensemble d'abord),전체형으로 접근해요.,Approche globale d'abord.,Profil qui priorise la vue d'ensemble.
대가,"maître, expert",예술 대가예요.,C'est un maître dans l'art.,Sommet de maîtrise dans un domaine.
탱화 작가,peintre de thangka,탱화 작가를 만났어요.,J'ai rencontré un peintre de thangka.,Artiste bouddhiste peignant des rouleaux sacrés.
불교,bouddhisme,불교 사찰에 갔어요.,Je suis allé au temple bouddhiste.,Religion/philosophie d'origine indienne.
-의 매력에 빠지다,être fasciné par,불교의 매력에 빠졌어요.,Je suis fasciné par le bouddhisme.,Chute passionnelle dans l'attrait.
초급 중급 고급,débutant/intermédiaire/avancé,초급부터 고급까지예요.,Du débutant à l'avancé.,Niveaux progressifs d'apprentissage.
얇다,"être fin, mince",종이가 얇아요.,Le papier est fin.,Faible épaisseur.
밑,"dessous, en dessous",책 밑에 있어요.,C'est en dessous du livre.,Position inférieure/inférieure.
베끼다,"tracer, copier",그림을 베껴 그렸어요.,J'ai tracé le dessin.,Reproduction exacte par superposition.
포기하다,abandonner,포기하지 마세요.,N'abandonne pas.,Arrêt définitif d'un effort.
초심,intention initiale,초심을 잃지 마세요.,Ne perds pas ton intention initiale.,Retour à la motivation pure du début.
언어,langue,한국어를 공부해요.,J'étudie la langue coréenne.,Système de communication verbal.
하루아침에 이루어진 것이 아니다.,Ça ne s'est pas fait du jour au lendemain.,성공은 하루아침에 이루어진 게 아니에요.,Le succès ne vient pas du jour au lendemain.,Processus long et graduel.
열정,"passion, ferveur",열정적으로 해요.,Fais-le avec passion.,Énergie émotionnelle intense.
진심으로 사랑하다,aimer sincèrement,진심으로 사랑해요.,Je t'aime sincèrement.,Amour profond et authentique.
,,,,
3과,,,,
발표 주제,topic of a presentation,오늘의 발표 주제는 한국 전통 음식입니다.,Le sujet de la présentation d'aujourd'hui est la cuisine traditionnelle coréenne.,Terme académique désignant le thème central d'un exposé oral. 발표 = présentation + 주제 = sujet/thème.
서론,introduction (of a paper or presentation),서론에서 발표 목적을 먼저 말해야 해요.,Il faut d'abord expliquer l'objectif dans l'introduction.,"Première partie d'un exposé où l'on pose le contexte et la problématique. Structure : 서론 → 본론 → 결론."
이등병,a private (in the army),입대하면 처음에는 이등병부터 시작해요.,"Quand on s'engage, on commence comme soldat de 2e classe.","Grade militaire le plus bas en Corée. Progression : 이등병 → 일등병 → 상등병 → 병장."
본론,body (of a paper or presentation),본론에서 세 가지 예를 들었어요.,J'ai donné trois exemples dans le développement.,"Partie centrale d'un exposé contenant les arguments principaux. Correspond au « développement » en français."
한국 사람치고 모르는 사람이 없다,there's not a Korean who hasn't heard of (something),이 노래는 한국 사람치고 모르는 사람이 없어요.,Il n'y a pas un seul Coréen qui ne connaisse cette chanson.,"Double négation emphatique. -치고 = « pour un... ». Signifie que quelque chose est universellement connu en Corée."
결론,conclusion (of a paper or presentation),결론에서 핵심 내용을 다시 정리했어요.,J'ai résumé les points clés dans la conclusion.,Dernière partie d'un exposé. On y récapitule les idées principales et on donne une ouverture.
세상을 떠나다,"to die (literally, ""to leave the world"")",할아버지가 작년에 세상을 떠나셨어요.,Mon grand-père est décédé l'année dernière.,"Euphémisme poli pour « mourir ». Littéralement « quitter le monde ». Plus respectueux que 죽다."
구성하다,"to form, to make up, to organize",발표를 세 부분으로 구성했어요.,J'ai organisé la présentation en trois parties.,Verbe formel pour structurer/composer un ensemble à partir d'éléments. Utilisé en contexte académique et professionnel.
그리워하다,to miss,고향을 그리워하고 있어요.,Mon pays natal me manque.,"Sentiment de nostalgie envers une personne/lieu absent. Plus profond et littéraire que 보고 싶다."
유익하다,to be useful,이 강의는 정말 유익했어요.,Ce cours était vraiment instructif.,Qualifie quelque chose d'enrichissant et bénéfique intellectuellement. Plus soutenu que 도움이 되다.
음반 재킷,album cover,이 음반 재킷 디자인이 정말 독특해요.,Le design de cette pochette d'album est vraiment unique.,"Emprunt de l'anglais « jacket ». Désigne la couverture/pochette d'un album musical."
요약하다,to summarize,발표 내용을 요약해 주세요.,"Résumez le contenu de la présentation, s'il vous plaît.",Condenser les points essentiels d'un texte ou d'un discours. Compétence clé en milieu académique.
즐겨 듣다,"to listen to often or regularly, to enjoy listening to",요즘 트로트를 즐겨 듣고 있어요.,"Ces jours-ci, j'écoute souvent du trot.","즐겨 = avec plaisir/régulièrement. Implique une habitude volontaire et appréciée, pas une obligation."
강조하다,to emphasize,선생님이 이 부분을 특히 강조하셨어요.,Le professeur a particulièrement insisté sur cette partie.,Mettre en avant un point important dans un discours ou un texte. Compétence essentielle en présentation.
(목소리가) 독특하다,to have a unique voice,그 가수는 목소리가 독특해서 인기가 많아요.,Ce chanteur est populaire car il a une voix unique.,"독특하다 = être singulier/original. Avec 목소리, décrit un timbre reconnaissable entre tous."
또박또박 말하다,"speak clearly and articulately, enunciate",발표할 때 또박또박 말해야 해요.,Il faut articuler clairement lors d'une présentation.,"Mot mimétique (의태어) décrivant une élocution nette, chaque syllabe bien prononcée. Conseil clé pour les exposés."
군대에 가다,"to join the army, to enlist",형이 내년에 군대에 가요.,Mon grand frère part à l'armée l'année prochaine.,"Expression courante pour le service militaire obligatoire (~18 mois). Étape incontournable pour les hommes coréens."
효과적으로,effectively,시간을 효과적으로 사용하세요.,Utilisez votre temps efficacement.,"Adverbe dérivé de 효과적이다. Manière qui produit les résultats souhaités avec un minimum d'effort."
가사,song lyrics,이 노래의 가사가 정말 감동적이에요.,Les paroles de cette chanson sont vraiment émouvantes.,"Texte chanté d'une chanson. ⚠ Ne pas confondre avec 가사 (家事) = tâches ménagères."
시각 자료,visual aid (used in a presentation or lecture),발표할 때 시각 자료를 사용하면 효과적이에요.,Utiliser des supports visuels lors d'une présentation est efficace.,"Images, graphiques ou vidéos utilisés pour renforcer un exposé. 시각 = visuel + 자료 = matériel."
의미,meaning,이 단어의 의미를 설명해 주세요.,"Expliquez-moi le sens de ce mot, s'il vous plaît.",Sens ou signification d'un mot/geste/action. Terme fondamental en apprentissage linguistique.
불필요하다,to be unnecessary,불필요한 내용은 빼세요.,Enlevez le contenu inutile.,"불 (不) = négation + 필요하다 = être nécessaire. Antonyme de 필요하다. Registre soutenu."
입대하다,"to enter the army (for one's compulsory military service), to enlist",그는 스무 살에 입대했어요.,Il s'est engagé dans l'armée à vingt ans.,"Terme formel pour l'incorporation militaire. Plus officiel que 군대에 가다. 입 = entrer + 대 = unité."
헛기침,clearing one's throat,긴장하면 헛기침을 자주 해요.,"Quand je suis nerveux, je me racle souvent la gorge.","헛 = en vain/faux + 기침 = toux. Toux volontaire pour attirer l'attention ou masquer la gêne."
아쉬움이 남다,"to feel that something is missing or incomplete, to regret",시간이 부족해서 아쉬움이 남아요.,Je regrette de ne pas avoir eu assez de temps.,"Sentiment doux de regret ou d'inachevé. Moins fort que 후회 (remords profond). Exprime un manque."
자연스럽게,"naturally, not awkwardly",자연스럽게 대화하듯이 발표하세요.,Présentez comme si vous discutiez naturellement.,"De manière fluide et sans artifice. Conseil clé pour les présentations orales réussies."
더욱,even more,연습하면 더욱 잘할 수 있어요.,"En pratiquant, vous pourrez faire encore mieux.","Adverbe d'intensification, plus soutenu que 더. Fréquent à l'écrit et dans les discours formels."
집중하다,"to concentrate, to focus",발표자의 말에 집중해 주세요.,Concentrez-vous sur les paroles du présentateur.,"集中. 집 = rassembler + 중 = centre. Focaliser toute son attention sur un point précis."
들려주다,"to let (someone) hear, to play (a song for someone)",좋아하는 노래를 들려줄게요.,Je vais te faire écouter ma chanson préférée.,"Forme causative de 듣다. Le suffixe -주다 ajoute la nuance « faire pour quelqu'un »."
충분히,"sufficiently, enough, fully",충분히 연습한 후에 발표하세요.,Présentez après avoir suffisamment pratiqué.,"Adverbe signifiant « assez, pleinement ». Insiste sur le fait d'avoir atteint le seuil nécessaire."
격식체,formal speech style,발표할 때는 격식체를 사용하세요.,Utilisez le style formel lors des présentations.,"Registre de langue formel en coréen (ex : -습니다/-ㅂ니다). Opposé à 비격식체 (informel)."
학자,scholar,세종대왕은 위대한 학자이기도 했어요.,Le roi Sejong était aussi un grand érudit.,Personne consacrée à l'étude et la recherche académique. Titre très respecté dans la culture coréenne.
지원하다,"to apply for (a job, for example)",장학금에 지원했어요.,J'ai postulé pour une bourse.,"Soumettre sa candidature (emploi, bourse, programme). Différent de 신청하다 (demande formelle administrative)."
