한글,French,Example Sentence,Translated Sentence,Explanation
신청서,formulaire d'inscription,신청서를 작성해 주세요.,Veuillez remplir le formulaire d'inscription.,Le document papier ou en ligne (application form) à remplir pour 신청하다.
모이다,se réunir,친구들이 도서관 앞에 모였어요.,Des amis se sont réunis devant la bibliothèque.,Des personnes se regroupent en un même lieu pour un but commun (to gather).
모임,réunion / rencontre,이번 주 금요일에 모임이 있어요.,Il y a une réunion ce vendredi.,"L'événement où l'on se réunit (meet-up, gathering), souvent pour un club ou un groupe d'étude."
엠티 (MT),sortie d'intégration,주말에 과 엠티를 갑니다.,Je pars en sortie d'intégration avec mon département ce week-end.,"Membership Training. Voyage de cohésion (retreat) d'un club ou d'un département, souvent avec des jeux et de l'alcool."
도서관,bibliothèque,도서관에서 공부해요.,J'étudie à la bibliothèque.,"Library. Lieu central du campus pour l'étude, l'emprunt de livres et l'accès aux ressources académiques."
대출,emprunt (de livres),책 대출 기간은 2주입니다.,La durée d'emprunt des livres est de 2 semaines.,Action d'emprunter un livre à la bibliothèque (book loan).
반납,retour (de livres),반납 기한을 지켜 주세요.,Veuillez respecter la date limite de retour.,Action de rendre un livre emprunté (return). Opposé de 대출.
반납하다,rendre / retourner,내일 책을 반납할 거예요.,Je vais rendre le livre demain.,Le verbe d'action pour effectuer le retour (to return).
반납일,date de retour,반납일이 다음 주 월요일이에요.,La date de retour est lundi prochain.,La date limite (due date) à laquelle un livre doit être rendu.
연체료를 내다,payer des frais de retard,반납일이 지나서 연체료를 냈어요.,J'ai payé des frais de retard car la date de retour était dépassée.,Payer une amende (late fee) pour avoir rendu un livre après la date limite.
이용 규칙,règles d'utilisation,이용 규칙을 꼭 읽으세요.,Lisez attentivement les règles d'utilisation.,Le règlement (rules of use) d'un lieu comme la bibliothèque ou la salle de sport.
규칙을 지키다,respecter les règles,도서관 규칙을 지켜 주세요.,Veuillez respecter les règles de la bibliothèque.,Se conformer au règlement (to follow the rules).
맞은편,en face de,편의점 맞은편에 카페가 있어요.,Il y a un café en face de la supérette.,Indique une position directement de l'autre côté (opposite side). Très utile pour donner des directions.
매주,chaque semaine,모임은 매주 수요일이에요.,La réunion a lieu chaque mercredi.,Adverbe de fréquence (every week).
복도,couloir,복도에서 떠들지 마세요.,Ne faites pas de bruit dans le couloir.,Espace de passage (hallway) dans un bâtiment.
지하,sous-sol,지하 1층에 탁구장이 있어요.,La salle de ping-pong est au premier sous-sol.,"Niveau inférieur d'un bâtiment (basement, underground)."
홈페이지,site web (officiel),공지를 홈페이지에서 확인하세요.,Vérifiez les annonces sur le site web.,"Homepage. La source principale d'informations officielles pour un cours, un département ou l'université."
출력하다,imprimer,보고서를 출력했어요.,J'ai imprimé le rapport.,Action d'imprimer un document depuis un ordinateur (to print).
다다음 주,la semaine d'après la semaine prochaine,발표는 다다음 주예요.,La présentation est dans deux semaines.,The week after next week. Utile pour planifier à moyen terme.
입구,entrée,입구에서 만나자.,Retrouvons-nous à l'entrée.,Le point d'accès principal d'un bâtiment (entrance).
(-이/가) 닫히다,se fermer / être fermé,문이 자동으로 닫혀요.,La porte se ferme automatiquement.,Forme passive de 닫다 (fermer). Indique qu'une chose se ferme d'elle-même ou a été fermée par quelqu'un.
(-이/가) 지나다,"passer (temps, date)",마감일이 지났어요.,La date limite est passée.,"Indique que le temps ou une date limite est écoulé (to pass, to be over)."
반납일이 지나다,la date de retour est dépassée,반납일이 지나서 연체료가 발생했어요.,Des frais de retard ont été appliqués car la date de retour est dépassée.,Expression spécifique pour un retard de prêt à la bibliothèque.
(-에게) 혼나다,se faire gronder,수업 중에 떠들어서 선생님에게 혼났어요.,Je me suis fait gronder par le professeur pour avoir bavardé en cours.,Subir une réprimande (to get scolded). Forme passive de 혼내다 (gronder).
경비 아저씨,gardien / vigile,경비 아저씨가 출입을 확인해요.,Le gardien vérifie les entrées.,Terme familier pour le gardien de sécurité (security guard) d'un bâtiment.
놓고 나오다,oublier (et sortir),강의실에 가방을 놓고 나왔어요.,J'ai oublié mon sac dans la salle de cours.,Action de laisser un objet quelque part par inadvertance (to leave something behind).
사실은,en fait / à vrai dire,사실은 숙제를 아직 못 했어요.,"En fait, je n'ai pas encore fait mes devoirs.","Utilisé pour introduire la vérité ou une information cachée (actually, in fact)."
주의 사항,points d'attention / avertissements,시험 전 주의 사항을 반드시 읽으세요.,Lisez impérativement les consignes avant l'examen.,"Instructions ou avertissements importants à prendre en compte (cautions, things to note)."
그런 게 있어?,"Ça existe, ce genre de chose ?","A: ""이 학교엔 수면실도 있어."" B: ""정말? 그런 게 있어?""","A: ""Cette école a même une salle de sieste."" B: ""Vraiment ? Ça existe ?""",Expression de surprise ou d'incrédulité (Is there such a thing?).
당연하지!,Bien sûr ! / Évidemment !,"A: ""도와줄 수 있어?"" B: ""당연하지!""","A: ""Tu peux m'aider ?"" B: ""Bien sûr !""",Réponse affirmative et enthousiaste (Of course!).
언어,langue,언어 교환을 하고 있어요.,Je fais un échange linguistique.,"Le système de communication (language), comme le coréen, le français, etc."
자신감,confiance en soi,발표에서 자신감이 중요해요.,La confiance en soi est importante pour une présentation.,Le sentiment d'assurance et de foi en ses propres capacités (self-confidence).
자신감이 생기다,gagner en confiance,반복 연습으로 자신감이 생겼어요.,J'ai gagné en confiance en m'entraînant de manière répétée.,Le processus de développer de l'assurance (to build confidence).
환경,environnement,학습 환경이 좋아요.,L'environnement d'étude est bon.,Le contexte ou les conditions dans lesquelles on vit ou travaille (environment).
경험하다,faire l'expérience de,다양한 문화를 직접 경험했어요.,J'ai fait l'expérience de diverses cultures personnellement.,Vivre ou traverser une situation concrètement (to experience).
느끼다,ressentir,큰 성취감을 느꼈어요.,J'ai ressenti un grand sentiment d'accomplissement.,Éprouver une émotion ou une sensation (to feel).
느낀 점,ce que j'ai ressenti / mes impressions,발표 후 느낀 점을 이야기해 보세요.,Parlez de vos impressions après la présentation.,"Les pensées et sentiments personnels suite à une expérience (takeaways, impressions)."
실력이 늘다,s'améliorer / progresser,연습을 하니 실력이 늘었어요.,Mon niveau s'est amélioré car je me suis entraîné.,Indique une amélioration des compétences (skills improve). 늘다 signifie augmenter.
한국어가 늘다,progresser en coréen,한국 드라마를 보니까 한국어가 늘었어요.,Mon coréen s'est amélioré en regardant des dramas coréens.,Expression spécifique pour indiquer une amélioration de son niveau de coréen.
(에) 적응하다,s'adapter à,새 환경에 잘 적응하고 있어요.,Je m'adapte bien au nouvel environnement.,S'habituer et s'ajuster à une nouvelle situation ou un nouveau lieu (to adapt to).
해결하다,résoudre,어려운 문제를 해결했어요.,J'ai résolu un problème difficile.,Trouver une solution à un problème ou une difficulté (to solve).
새롭다,être nouveau,새로운 친구들을 많이 사귀었어요.,Je me suis fait beaucoup de nouveaux amis.,Qualifie quelque chose de nouveau et d'inédit (to be new).
익숙하다,être familier / habitué,이제 한국 생활이 익숙해요.,"Maintenant, je suis habitué(e) à la vie en Corée.",Le sentiment d'être à l'aise avec quelque chose car on en a l'habitude (to be familiar with).
점점,progressivement / de plus en plus,날씨가 점점 추워져요.,Le temps se refroidit de plus en plus.,"Adverbe qui indique un changement graduel (gradually, increasingly)."
한국 사람이 다 됐대요.,On dirait que tu es devenu(e) tout(e) coréen(ne).,"김치를 잘 먹어서 친구가 ""한국 사람이 다 됐네요""라고 했어요.","Mon ami m'a dit ""On dirait que tu es devenu tout coréen"" parce que je mange bien le kimchi.",Expression idiomatique pour complimenter un étranger qui s'est très bien adapté à la culture coréenne.
,,,,
3과,,,,
아파트,appartement,한국에서는 아파트에 사는 사람이 많아요.,"En Corée, beaucoup de gens vivent en appartement.",Désigne un appartement dans un grand immeuble résidentiel (apartment complex). C'est le type de logement le plus courant en ville.
기숙사,dortoir / résidence universitaire,대학교 기숙사 추첨에서 떨어졌어요.,Je n'ai pas été sélectionné au tirage au sort pour le dortoir.,Logement pour étudiants sur le campus (dormitory). Les chambres sont souvent partagées (ex: 2인 1실).
원룸,studio,혼자 살기에는 원룸이 편해요.,"Pour vivre seul, un studio est pratique.","Logement d'une seule pièce (one-room studio) où chambre, salon et cuisine sont combinés."
주택,maison individuelle,마당이 있는 주택에서 살고 싶어요.,Je veux vivre dans une maison avec un jardin.,"Maison unifamiliale (house), par opposition à un appartement dans un immeuble collectif."
하숙집,pension (chez l'habitant),하숙집에서는 보통 아침과 저녁을 줘요.,"Dans une pension, on vous donne généralement le petit-déjeuner et le dîner.",Logement (boarding house) où l'on loue une chambre chez une famille qui fournit souvent les repas.
거실,salon,거실에서 다 같이 TV를 봐요.,On regarde la télé tous ensemble dans le salon.,La pièce à vivre principale d'une maison ou d'un grand appartement (living room).
부엌,cuisine,부엌에서 요리하고 있어요.,Je suis en train de cuisiner dans la cuisine.,L'espace dédié à la préparation des repas (kitchen).
샤워실,salle de douche,기숙사는 공동 샤워실을 사용해요.,"Au dortoir, on utilise une salle de douche commune.","Pièce contenant une douche (shower room), parfois séparée de la salle de bain."
가구,meuble(s),이사할 때 새 가구를 샀어요.,J'ai acheté de nouveaux meubles en déménageant.,"Terme général pour le mobilier (furniture) : lit, table, chaise, armoire, etc."
싱크대,évier (de cuisine),설거지할 그릇이 싱크대에 쌓여 있어요.,La vaisselle à faire s'accumule dans l'évier.,L'évier de la cuisine (kitchen sink).
옷장,armoire / penderie,겨울옷을 옷장에 정리했어요.,J'ai rangé les vêtements d'hiver dans l'armoire.,Meuble destiné au rangement des vêtements (closet/wardrobe).
침대,lit,피곤해서 침대에 눕고 싶어요.,"Je suis fatigué(e), je veux m'allonger sur le lit.",Le meuble sur lequel on dort (bed).
가스가 들어오다,le gaz est raccordé,이 집에 아직 가스가 안 들어와요.,Le gaz n'est pas encore raccordé dans cette maison.,"Expression signifiant que l'alimentation en gaz (pour la cuisine, le chauffage) est fonctionnelle."
난방이 되다,le chauffage fonctionne,겨울에는 난방이 잘 돼야 해요.,"En hiver, le chauffage doit bien fonctionner.",Indique que le système de chauffage (heating system) est en état de marche.
물이 나오다,l'eau coule (du robinet),갑자기 뜨거운 물이 안 나와요.,"Soudainement, l'eau chaude ne coule plus.",Signifie que l'approvisionnement en eau est fonctionnel.
물이 내려가다,l'eau s'évacue,싱크대 물이 잘 안 내려가요.,L'eau de l'évier ne s'évacue pas bien.,Concerne le drainage (draining). Un problème ici indique souvent un bouchon.
불이 들어오다,la lumière s'allume / l'électricité fonctionne,전기가 나가서 불이 안 들어와요.,"L'électricité est coupée, donc la lumière ne s'allume pas.",Indique que l'électricité est fonctionnelle.
비가 새다,il y a une fuite (de pluie),천장에서 비가 새요.,Il y a une fuite d'eau du plafond quand il pleut.,Le toit ou le mur n'est pas étanche et laisse passer l'eau de pluie (the rain leaks in).
창문이 닫히다,la fenêtre se ferme / est fermée,바람 때문에 창문이 저절로 닫혔어요.,La fenêtre s'est fermée toute seule à cause du vent.,"Forme passive de ""fermer la fenêtre""."
보증금,dépôt de garantie / caution,이 원룸은 보증금 500만 원입니다.,Ce studio a une caution de 5 millions de wons.,Somme d'argent importante (security deposit) donnée au propriétaire au début du contrat et restituée à la fin.
부동산,agence immobilière,부동산에 가서 집을 알아봤어요.,Je suis allé(e) à l'agence immobilière pour chercher un logement.,L'agence (real estate agency) qui sert d'intermédiaire pour la location ou la vente.
부동산 중개인,agent immobilier,부동산 중개인이 좋은 집을 소개해 줬어요.,L'agent immobilier m'a présenté un bon logement.,Le professionnel qui travaille dans une agence immobilière (real estate agent).
쇼핑센터,centre commercial,주말에 쇼핑센터에 사람이 많아요.,"Le week-end, il y a beaucoup de monde au centre commercial.","Un grand bâtiment avec de nombreux magasins, restaurants, etc. (shopping center)."
월세,loyer mensuel,매달 1일에 월세를 내야 해요.,Je dois payer le loyer mensuel le 1er de chaque mois.,Système de location où l'on paie un loyer chaque mois (monthly rent).
전세,"location par dépôt ""Jeonse""",전세로 계약하면 월세를 안 내도 돼요.,"Si on signe un contrat ""Jeonse"", on n'a pas besoin de payer de loyer mensuel.",Système de location unique à la Corée où le locataire verse une très grosse somme en dépôt et ne paie pas de loyer.
주택가,quartier résidentiel,이곳은 조용한 주택가예요.,C'est un quartier résidentiel calme.,Une zone où se trouvent principalement des maisons et des appartements (residential area).
집주인,propriétaire,문제가 생기면 집주인에게 연락하세요.,"Si un problème survient, contactez le propriétaire.",La personne qui possède le logement et le met en location (landlord).
뜨겁다,être chaud (au toucher),국이 뜨거우니 조심하세요.,"La soupe est chaude, alors faites attention.","Décrit une température élevée pour un objet ou un liquide. Ne pas confondre avec 덥다 (chaud, pour la météo)."
주변 환경,environnement alentour,이 동네는 주변 환경이 조용해서 좋아요.,J'aime ce quartier car l'environnement est calme.,"Concerne les environs immédiats d'un logement : bruit, propreté, sécurité, commerces (surrounding environment)."
공기가 맑다,l'air est pur,산이라서 공기가 맑아요.,"Comme c'est la montagne, l'air est pur.","Décrit une bonne qualité de l'air, sans pollution (the air is clean/fresh)."
전망이 좋다,la vue est belle,제 방은 전망이 좋아서 인기가 많아요.,Ma chambre est populaire car la vue est belle.,Qualifie un logement qui offre un beau panorama (to have a good view).
어떻게 해야 할지 잘 모르겠어요.,Je ne sais pas bien ce que je dois faire.,보일러가 고장 나서 어떻게 해야 할지 잘 모르겠어요.,"La chaudière est en panne, je ne sais pas bien quoi faire.",Phrase utilisée quand on est face à un problème et qu'on ne connaît pas la solution.
점,point / aspect,이 집의 좋은 점은 역에서 가깝다는 거예요.,"Le bon point de ce logement, c'est qu'il est proche de la station.","Utilisé pour parler d'une caractéristique ou d'un aspect (point, aspect). Ex: 장점 (point fort), 단점 (point faible)."
장단점,avantages et inconvénients,기숙사의 장단점을 알려 주세요.,Dites-moi quels sont les avantages et les inconvénients du dortoir.,Mot-valise combinant 장점 (avantage) et 단점 (inconvénient) (pros and cons).
힘든 점,point difficile / difficulté,한국 생활의 힘든 점은 뭐예요?,Quelle est la chose la plus difficile dans la vie en Corée ?,"Désigne l'aspect le plus pénible ou difficile d'une expérience (hardship, difficult point)."
구하다,chercher / trouver,인터넷으로 집을 구했어요.,J'ai trouvé un logement sur internet.,"Verbe utilisé pour la recherche et l'obtention d'un logement, d'un travail, etc. (to look for, to get)."
제안하다,proposer / suggérer,제가 좋은 방법을 제안할게요.,Je vais proposer une bonne méthode.,"Faire une suggestion ou une proposition (to suggest, to propose)."
불친절하다,être désagréable / pas aimable,그 식당 직원은 좀 불친절했어요.,L'employé de ce restaurant était un peu désagréable.,"Le contraire de 친절하다 (être aimable) (to be unkind, unfriendly)."
지저분하다,être désordonné / sale,방이 너무 지저분해서 청소해야 해요.,"La chambre est trop en désordre, je dois la nettoyer.","Décrit un manque de propreté ou d'ordre (to be messy, dirty)."
먼저,d'abord / en premier,집에 오면 먼저 손을 씻어요.,"Quand je rentre à la maison, je me lave d'abord les mains.",Adverbe qui indique la priorité dans une séquence d'actions (first).
반씩 내다,payer moitié-moitié,친구와 관리비를 반반 내기로 했어요.,Mon ami et moi avons décidé de payer les charges moitié-moitié.,Expression familière pour dire qu'on partage un coût à parts égales (to split the bill 50/50).
그래그래.,"Oui, oui. / C'est ça.","A: ""이렇게 하면 돼?"" B: ""응, 그래그래.""","A: ""Je dois faire comme ça ?"" B: ""Oui, c'est ça.""","Expression familière et décontractée pour marquer son accord (Yeah, yeah. / Okay, okay.)."
깜짝이야.,Quelle surprise ! / Tu m'as fait peur !,"뒤에서 갑자기 나타나서 ""깜짝이야!"" 하고 소리쳤어요.","J'ai crié ""Tu m'as fait peur !"" parce que tu es apparu soudainement derrière moi.",Interjection utilisée pour exprimer la surprise ou la peur.
뭘 그렇게 열심히 보고 있어?,Qu'est-ce que tu regardes avec autant d'attention ?,"친구가 휴대폰만 보고 있어서 ""뭘 그렇게 열심히 보고 있어?""라고 물었다.","Mon ami ne regardait que son téléphone, alors j'ai demandé ""Qu'est-ce que tu regardes avec autant d'attention ?"".",Phrase familière pour demander à quelqu'un ce qui capte son attention.
우리 이렇게 하면 어떨까?,Et si on faisait comme ça ?,"청소 당번을 정해야 하는데, 우리 이렇게 하면 어떨까?","On doit décider des tours de ménage, et si on faisait comme ça ?",Formule de suggestion douce et collaborative pour proposer une idée.
가족적,familial / chaleureux,하숙집 분위기가 아주 가족적이에요.,L'ambiance de la pension est très familiale.,"Décrit une atmosphère chaleureuse et accueillante, comme dans une famille (family-like)."
공동생활,vie en communauté,기숙사에서는 공동생활 규칙을 잘 지켜야 해요.,"Au dortoir, il faut bien respecter les règles de la vie en communauté.",Le fait de vivre avec d'autres personnes et de partager des espaces (communal living).
매점,kiosque / petite boutique,기숙사 1층에 매점이 있어서 편리해요.,C'est pratique car il y a un kiosque au rez-de-chaussée du dortoir.,"Petit magasin (snack shop, kiosk) situé à l'intérieur d'un bâtiment (école, entreprise, dortoir) vendant des snacks et des boissons."
비,frais,이 서비스는 가입비가 없어요.,Ce service n'a pas de frais d'inscription.,"Suffixe signifiant ""frais"" ou ""coût"" (fee). Ex: 학비 (frais de scolarité), 회비 (cotisation)."
관리비,charges / frais de gestion,이 아파트는 관리비가 비싼 편이에요.,Les charges de cet appartement sont plutôt chères.,Frais mensuels pour l'entretien des parties communes d'un immeuble (maintenance fees).
기숙사비,frais de dortoir,다음 학기 기숙사비를 내야 해요.,Je dois payer les frais de dortoir pour le prochain semestre.,Le coût de la location d'une chambre en résidence universitaire (dormitory fee).
식사비,frais de repas,하숙비에는 식사비가 포함되어 있어요.,Les frais de repas sont inclus dans le coût de la pension.,Le coût de la nourriture (meal expenses).
