한글,French,Example Sentence,Translated Sentence,Explanation
게시판,panneau d'affichage / tableau d'affichage,공지사항은 게시판에서 확인하세요.,Vérifiez les annonces sur le tableau d'affichage.,Panneau (physique ou en ligne) où sont affichées des informations (bulletin board). Aussi utilisé pour les forums en ligne.
시설,installation / équipement,이 아파트는 편의 시설이 잘 갖춰져 있어요.,Cet appartement dispose d'excellentes installations pratiques.,"Terme général pour des infrastructures ou équipements (facility). Utilisé pour bâtiments, sport, loisirs, etc."
수락하다,"accepter (une offre, formellement)",그는 그 제안을 수락하기로 했어요.,Il a décidé d'accepter cette proposition.,"Verbe formel pour accepter une offre, proposition ou invitation (to accept formally, e.g. job offer). Plus formel que 받아들이다."
맡다,prendre en charge / assumer,이번 프로젝트는 제가 맡게 되었어요.,C'est moi qui vais prendre en charge ce projet.,"Verbe désignant le fait d'assumer une tâche, une responsabilité ou un rôle (to take charge of). Très courant en contexte professionnel."
받아들이다,accepter (une situation),그녀는 그 결정을 받아들이기로 했어요.,Elle a décidé d'accepter cette décision.,"Accepter une réalité, une critique ou une situation, avec une nuance de résignation ou d'ouverture (to come to terms with). Différent de 수락하다, plus formel/officiel."
취직하다,décrocher un poste,그는 드디어 대기업에 취직했어요.,Il a enfin décroché un poste dans une grande entreprise.,"Verbe pour obtenir un emploi, surtout un premier emploi ou une nouvelle embauche (to get a job). Registre neutre."
등록하다,s'inscrire (administrativement),이번 학기 수업을 온라인으로 등록했어요.,Je me suis inscrit aux cours de ce semestre en ligne.,"Inscription officielle (école, cours, association) impliquant souvent un paiement ou une validation administrative (to register, to enroll)."
집세,loyer,이번 달 집세를 아직 못 냈어요.,Je n'ai pas encore payé le loyer de ce mois-ci.,Terme courant pour le loyer d'un logement (rent). Synonyme moins formel de 월세 (loyer mensuel).
헬스장,salle de sport,저는 매일 아침 헬스장에 가요.,Je vais à la salle de sport tous les matins.,"Emprunté de l'anglais ""health"" + 장 (lieu), désigne une salle de musculation/fitness (gym). Terme très courant."
관광 안내서,guide touristique (brochure),공항에서 관광 안내서를 받았어요.,J'ai reçu un guide touristique à l'aéroport.,"Document/brochure d'information touristique (tourist guidebook/pamphlet), différent de 여행 가이드 qui peut désigner une personne ou un livre."
여행 가이드,guide de voyage (livre ou personne),여행 가이드를 보고 일정을 짰어요.,J'ai planifié l'itinéraire en regardant un guide de voyage.,"Peut désigner un livre-guide ou une personne qui guide les touristes (travel guide/guidebook), selon le contexte."
알게 되다,découvrir / apprendre (une info),나중에서야 그 사실을 알게 됐어요.,Ce n'est que plus tard que j'ai découvert ce fait.,"Exprime le fait de finir par savoir ou découvrir quelque chose, souvent progressivement ou par hasard (to find out). Différent de 알다 (déjà savoir)."
게시판,panneau d'affichage / tableau d'affichage,학교 게시판에 시험 일정이 붙어 있었어요.,Le calendrier des examens était affiché sur le tableau d'affichage de l'école.,Panneau (physique ou en ligne) où sont affichées des informations (bulletin board). Aussi utilisé pour les forums en ligne.
수업을 듣다,suivre des cours,저는 이번 학기에 한국어 수업을 들어요.,Je suis un cours de coréen ce semestre.,"Littéralement ""écouter un cours"", expression utilisée pour dire qu'on suit un cours (to take a class). Très courant."
등록하다,s'inscrire (administrativement),헬스장에 3개월치 등록했어요.,Je me suis inscrit à la salle de sport pour 3 mois.,"Inscription officielle impliquant souvent un paiement ou une validation administrative (to register, to enroll)."
지나가다,passer devant / passer par,버스가 방금 우리 집 앞을 지나갔어요.,Le bus vient de passer devant chez moi.,Verbe de mouvement signifiant passer par un endroit ou traverser (to pass by). Peut aussi s'utiliser au figuré (le temps qui passe).
요리책,livre de cuisine,새 요리책을 사서 파스타를 만들어 봤어요.,J'ai acheté un nouveau livre de cuisine et j'ai essayé de faire des pâtes.,"Composé de 요리 (cuisine) + 책 (livre), désigne un livre de recettes (cookbook). Terme simple et courant."
